timestamp,robot_id,robot_type,zone,task_type,mission_duration_s,downtime_s,battery_pct,speed_mps,temperature_c,error_code,mission_status,incident_label
2026-02-02 08:00:00,R01,picker,C1,replenish,174,18,94.46,1.081,25.06,,completed,0
2026-02-02 08:00:00,R09,forklift,A1,inventory_scan,179,19,93.04,1.197,22.87,,completed,0
2026-02-02 08:10:00,R03,picker,C3,transport,219,13,90.91,1.257,25.0,,completed,0
2026-02-02 08:10:00,R01,picker,D1,inventory_scan,242,27,98.4,1.537,25.04,,completed,0
2026-02-02 08:20:00,R10,carrier,B2,pick,187,31,98.21,1.082,22.39,,completed,0
2026-02-02 08:20:00,R06,carrier,B1,transport,219,1,96.31,1.312,20.26,,completed,0
2026-02-02 08:20:00,R09,forklift,B2,replenish,228,11,85.06,1.195,22.35,,completed,0
2026-02-02 08:20:00,R01,picker,C2,charge_transfer,406,11,100,1.373,21.85,,completed,0
2026-02-02 08:30:00,R11,picker,D1,replenish,246,33,91.37,1.12,23.42,,completed,0
2026-02-02 08:30:00,R03,picker,D1,pick,185,28,86.56,0.893,22.14,,completed,0
2026-02-02 08:30:00,R07,forklift,C3,inventory_scan,193,173,100,1.302,23.64,E_NAV_BLOCKED,failed,0
2026-02-02 08:30:00,R02,picker,C1,charge_transfer,307,0,81.84,1.262,22.08,,completed,0
2026-02-02 08:30:00,R09,forklift,A2,transport,281,52,97.84,1.005,20.1,,completed,0
2026-02-02 08:40:00,R06,carrier,D1,pick,251,19,86.14,1.211,23.38,,completed,0
2026-02-02 08:40:00,R10,carrier,A2,pick,162,3,90.12,1.32,18.53,,completed,0
2026-02-02 08:40:00,R09,forklift,C3,replenish,233,1,73.61,0.82,26.58,,completed,0
2026-02-02 08:40:00,R06,carrier,D1,inventory_scan,213,20,85.52,1.134,22.43,,completed,0
2026-02-02 08:40:00,R01,picker,B2,pick,199,26,91.43,1.05,25.12,,completed,0
2026-02-02 08:40:00,R03,picker,D1,replenish,278,8,95.53,1.28,18.63,,completed,0
2026-02-02 08:50:00,R01,picker,C3,transport,260,38,96.66,1.168,23.99,,completed,0
