timestamp,player_id,machine_id,machine_type,arcade_zone,game_mode,game_duration_s,pause_s,tilt_risk_pct,ball_speed_mps,playfield_temp_c,error_code,game_status,incident_label
2026-02-03 10:00:00,P139,F13,electromechanical,C3,speedrun,188,0,39.32,1.154,37.76,,completed,0
2026-02-03 10:00:00,P135,F01,solid_state,A2,speedrun,88,29,42.6,1.458,36.96,,completed,0
2026-02-03 10:05:00,P122,F10,digital,C2,classic,143,23,61.17,0.957,30.73,,completed,0
2026-02-03 10:05:00,P032,F08,digital,A2,classic,109,41,58.62,1.287,32.16,,completed,0
2026-02-03 10:10:00,P142,F08,digital,A1,classic,77,38,31.29,1.157,30.85,,completed,0
2026-02-03 10:10:00,P157,F06,digital,D1,multiball,273,8,8.87,1.528,28.66,,completed,0
2026-02-03 10:15:00,P149,F10,digital,C1,wizard,256,37,37.52,1.43,31.55,,completed,0
2026-02-03 10:15:00,P080,F07,digital,A1,classic,173,8,32.38,0.969,24.72,,completed,0
2026-02-03 10:15:00,P158,F05,solid_state,A1,classic,116,5,69.91,1.208,27.43,,completed,0
2026-02-03 10:20:00,P094,F06,digital,C2,classic,270,19,38.3,1.055,26.09,,completed,0
2026-02-03 10:25:00,P096,F08,digital,B2,multiball,292,9,54.1,1.09,31.49,,completed,0
2026-02-03 10:30:00,P068,F05,solid_state,C2,multiball,268,8,74.89,1.019,26.16,,completed,0
2026-02-03 10:30:00,P052,F01,solid_state,C2,classic,144,3,42.21,1.484,27.78,,completed,0
2026-02-03 10:30:00,P119,F13,electromechanical,C3,multiball,232,27,61.32,1.306,16.64,,completed,0
2026-02-03 10:35:00,P059,F08,digital,C3,speedrun,152,21,44.79,1.182,32.34,,completed,0
2026-02-03 10:35:00,P167,F15,electromechanical,C2,classic,154,6,78.05,1.523,25.77,,completed,0
2026-02-03 10:40:00,P158,F10,digital,D1,wizard,362,34,53.51,1.338,32.59,,completed,0
2026-02-03 10:45:00,P147,F07,digital,D1,speedrun,161,21,78.38,0.85,25.92,,completed,0
2026-02-03 10:50:00,P116,F11,electromechanical,C2,multiball,225,29,70.43,1.64,27.34,,completed,0
2026-02-03 10:55:00,P030,F05,solid_state,C1,classic,139,30,39.29,0.818,31.03,,completed,0
2026-02-03 10:55:00,P033,F15,electromechanical,A1,multiball,292,24,65.02,1.544,31.05,,completed,0
2026-02-03 10:55:00,P142,F06,digital,A2,classic,160,42,69.03,1.155,22.69,,completed,0
2026-02-03 11:00:00,P149,F01,solid_state,C1,classic,169,13,61.95,1.027,25.21,,completed,0
2026-02-03 11:00:00,P020,F04,solid_state,B2,classic,235,20,55.89,1.013,29.67,,completed,0
2026-02-03 11:00:00,P057,F01,solid_state,C1,wizard,278,16,62.99,1.206,26.84,,completed,0
2026-02-03 11:05:00,P078,F10,digital,A1,speedrun,91,26,98.31,1.254,24.53,,completed,0
2026-02-03 11:05:00,P013,F12,electromechanical,A1,wizard,376,10,23.6,1.416,32.63,,completed,0
2026-02-03 11:10:00,P075,F08,digital,A1,wizard,372,0,33.97,0.815,38.4,,completed,0
2026-02-03 11:10:00,P025,F03,solid_state,B2,classic,155,21,41.99,0.913,29.49,,completed,0
2026-02-03 11:15:00,P162,F15,electromechanical,B1,classic,175,22,53.54,1.444,30.12,,completed,0
